"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2025-02-19,2025,2,-19.31,-70.15,54,4.9,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2025-01-17,2025,1,-35.15,-72.17,38,4.6,"4.0 a 4.9","Intermedio",0,0,"Maule","Dentro del polígono regional","Centro","region_12"
2023-08-28,2023,8,-43.77,-73.65,52,5,"5.0 a 5.9","Intermedio",1,0,"Aysén","Región más cercana","Austral","region_5"
2024-08-26,2024,8,-44.87,-73.92,49,5.1,"5.0 a 5.9","Intermedio",1,0,"Aysén","Región más cercana","Austral","region_5"
2024-06-19,2024,6,-24.61,-70.09,49,4.4,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2024-08-05,2024,8,-25.8,-70.4,49,4.1,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2024-10-19,2024,10,-26.27,-69.17,145,4.6,"4.0 a 4.9","Profundo",0,0,"Atacama","Dentro del polígono regional","Norte","region_4"
2024-11-11,2024,11,-25.68,-69.88,85,3.9,"Menor a 4","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2025-02-04,2025,2,-25.01,-70.89,46,4.1,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2025-02-13,2025,2,-24.95,-70.73,48,4.6,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2024-12-17,2024,12,-26.14,-69.92,52,4.5,"4.0 a 4.9","Intermedio",0,0,"Atacama","Dentro del polígono regional","Norte","region_4"
2024-06-29,2024,6,-24.96,-70.65,66,3.4,"Menor a 4","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2024-09-30,2024,9,-25.19,-70.48,34,3.9,"Menor a 4","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2019-08-01,2019,8,-34.31,-72.42,21,5.4,"5.0 a 5.9","Superficial",1,0,"O'Higgins","Región más cercana","Centro","region_8"
2019-08-01,2019,8,-34.28,-72.51,13,6.6,"6.0 o más","Superficial",1,1,"O'Higgins","Región más cercana","Centro","region_8"
2019-08-02,2019,8,-34.17,-72.12,21,5.4,"5.0 a 5.9","Superficial",1,0,"O'Higgins","Región más cercana","Centro","region_8"
2019-08-28,2019,8,-23.13,-69.23,108,5.2,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2019-08-14,2019,8,-20.74,-70.11,30,4.2,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Región más cercana","Norte","region_15"
2019-08-09,2019,8,-32.14,-70.96,92,5.1,"5.0 a 5.9","Profundo",1,0,"Valparaíso","Dentro del polígono regional","Centro","region_16"
2019-08-12,2019,8,-19.23,-69.73,86,4.2,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-08-24,2019,8,-31.11,-71.39,67,5.3,"5.0 a 5.9","Intermedio",1,0,"Coquimbo","Dentro del polígono regional","Norte","region_7"
2019-01-31,2019,1,-20.46,-69,102,4,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2018-07-02,2018,7,-37.75,-72.74,40,4.3,"4.0 a 4.9","Intermedio",0,0,"Araucanía","Dentro del polígono regional","Sur","region_2"
2018-01-21,2018,1,-36.07,-73.29,32,4.2,"4.0 a 4.9","Intermedio",0,0,"Ñuble","Región más cercana","Sur","region_13"
2019-09-26,2019,9,-40.83,-72.29,140,6,"6.0 o más","Profundo",1,1,"Los Lagos","Dentro del polígono regional","Sur","region_9"
2018-10-02,2018,10,-20.28,-69.3,89,4.1,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-05,2019,9,-36.09,-73.99,20,5,"5.0 a 5.9","Superficial",1,0,"Biobío","Región más cercana","Sur","region_6"
2018-01-21,2018,1,-35.98,-73.46,19,4.7,"4.0 a 4.9","Superficial",0,0,"Ñuble","Región más cercana","Sur","region_13"
2018-12-15,2018,12,-19.88,-71.01,35,4.7,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Región más cercana","Norte","region_15"
2019-04-24,2019,4,-21.49,-68.52,137,5.3,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2018-07-02,2018,7,-36.8,-73.6,28,4.3,"4.0 a 4.9","Superficial",0,0,"Biobío","Región más cercana","Sur","region_6"
2019-09-26,2019,9,-29.88,-71.31,46,5.4,"5.0 a 5.9","Intermedio",1,0,"Coquimbo","Región más cercana","Norte","region_7"
2019-01-28,2019,1,-35.62,-72.97,28,5,"5.0 a 5.9","Superficial",1,0,"Maule","Región más cercana","Centro","region_12"
2018-02-25,2018,2,-37.72,-73.03,45,4.5,"4.0 a 4.9","Intermedio",0,0,"Biobío","Dentro del polígono regional","Sur","region_6"
2019-03-21,2019,3,-36.19,-72.7,67,4.4,"4.0 a 4.9","Intermedio",0,0,"Ñuble","Dentro del polígono regional","Sur","region_13"
2019-03-27,2019,3,-19.27,-70.28,35,4.2,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
